invoice_id,counterparty_id,inv_amount,inv_currency,invoice_date,proposed_txn_id,txn_amount,txn_currency,txn_date,match_basis,amount_delta_sgd,date_gap_days,ref_confirmed,confidence
1765,564,14880.0,AUD,2024-11-19,96151,14881.23,AUD,2024-11-19,NEAR_1PCT,1.107,0,Y,HIGH
1766,737,,,,,,,,NONE,,,,
1767,509,24129.0,AUD,2025-08-31,10945,24129.0,AUD,2026-07-07,EXACT,0.0,310,Y,HIGH
1769,139,,,,,,,,NONE,,,,
1770,93,11000.0,AUD,2026-05-19,10688,11000.0,AUD,2026-05-21,EXACT,0.0,2,Y,HIGH
1771,84,1362.0,SGD,2025-02-25,94417,1362.0,SGD,2025-04-25,EXACT,0.0,59,N,HIGH
1772,70,,,,,,,,NONE,,,,
1773,123,1489.59,AUD,2025-04-30,97332,1489.59,AUD,2025-08-25,EXACT,0.0,117,Y,HIGH
1777,28,,,,,,,,NONE,,,,
1778,138,,,,,,,,NONE,,,,
1779,149,,,,,,,,NONE,,,,
1780,139,1898.6,AUD,2025-04-09,9786,1898.6,AUD,2026-01-20,EXACT,0.0,286,Y,HIGH
1781,87,18307.8,USD,2025-10-03,9381,23201.72,SGD,2026-03-27,AMOUNT_GAP,-1330.732,175,N,LOW
1782,649,12084.0,USD,2025-09-30,95090,15677.03,SGD,2025-09-30,AMOUNT_GAP,-515.53,0,N,LOW
1783,111,,,,,,,,NONE,,,,
1784,355,9527.19,SGD,2024-11-01,96713,11412.99,AUD,2025-02-28,AMOUNT_GAP,744.501,119,Y,MED
1785,145,1500.0,AUD,2025-01-12,96754,3584.65,AUD,2025-03-11,AMOUNT_GAP,1876.185,58,N,LOW
1786,28,2062.5,AUD,2024-01-02,95823,2063.07,AUD,2024-01-09,NEAR_1PCT,0.513,7,Y,HIGH
1787,509,,,,,,,,NONE,,,,
1788,123,100.0,AUD,2024-01-31,95863,100.57,AUD,2024-03-25,NEAR_1PCT,0.513,54,Y,HIGH
1789,694,,,,,,,,NONE,,,,
1790,665,,,,,,,,NONE,,,,
1791,509,,,,,,,,NONE,,,,
1792,72,165.0,AUD,2025-09-17,97798,165.0,AUD,2025-12-10,EXACT,0.0,84,Y,HIGH
1793,86,,,,,,,,NONE,,,,
1795,752,300.0,AUD,2025-06-06,97153,301.0,AUD,2025-06-25,NEAR_1PCT,0.9,19,N,MED
1796,72,220.0,AUD,2025-09-09,97805,220.0,AUD,2025-12-10,EXACT,0.0,92,Y,HIGH
1797,149,2750.0,AUD,2025-05-26,97120,2751.0,AUD,2025-06-02,NEAR_1PCT,0.9,7,N,MED
1799,28,2282.5,AUD,2024-07-01,95946,2283.73,AUD,2024-07-16,NEAR_1PCT,1.107,15,Y,HIGH
1801,355,3058.69,SGD,2024-12-01,94598,587.99,SGD,2025-06-24,AMOUNT_GAP,-2470.7,205,N,LOW
1802,661,,,,,,,,NONE,,,,
1804,117,,,,,,,,NONE,,,,
1805,72,165.0,AUD,2025-11-10,10652,165.0,AUD,2026-05-19,EXACT,0.0,190,Y,HIGH
1806,149,,,,,,,,NONE,,,,
1808,72,,,,,,,,NONE,,,,
1809,48,,,,,,,,NONE,,,,
1810,72,330.0,AUD,2026-04-14,10674,330.0,AUD,2026-05-19,EXACT,0.0,35,Y,HIGH
1811,70,1175.0,SGD,2025-06-02,86517,86.0,SGD,2025-07-11,AMOUNT_GAP,-1089.0,39,N,LOW
1812,149,2000.0,AUD,2025-10-13,97793,2000.0,AUD,2025-12-10,EXACT,0.0,58,N,HIGH
1813,72,220.0,AUD,2025-08-19,97396,220.0,AUD,2025-09-04,EXACT,0.0,16,N,MED
1814,355,,,,,,,,NONE,,,,
