Old view,New (v_ canonical),Change,Used as,Optional further normalization
view_AU_c_stripe_payouts,v_AU_c_stripe_payouts,prefix,payout lane,
view_AU_c_subscription_invoice_paid,v_AU_c_subscription_invoice_paid,prefix,economic-events,drop redundant '_paid' (lane letter already says it)
view_AU_c_subscription_refunds_device,v_AU_c_subscription_refunds_device,prefix,economic-events,
view_AU_c_subscription_refunds_insurance,v_AU_c_subscription_refunds_insurance,prefix,economic-events,
view_AU_c_trip_cash_collected,v_AU_c_trip_cash_collected,prefix,economic-events,drop redundant '_collected' (lane letter already says it)
view_AU_c_trip_distance_cash_collected,v_AU_c_trip_distance_cash_collected,prefix,economic-events,drop redundant '_collected' (lane letter already says it)
view_AU_c_trip_distance_invoice_paid,v_AU_c_trip_distance_invoice_paid,prefix,economic-events,drop redundant '_paid' (lane letter already says it)
view_AU_c_trip_refunds,v_AU_c_trip_refunds,prefix,economic-events,
view_AU_c_verification_charge_received,v_AU_c_verification_charge_received,prefix,economic-events,drop redundant '_received' (lane letter already says it)
view_AU_c_verification_refunds,v_AU_c_verification_refunds,prefix,economic-events,
view_SG_a_cost_fuel_net,v_SG_a_cost_fuel_net,prefix,economic-events,
view_SG_a_cost_late_return,v_SG_a_cost_late_return,prefix,economic-events,
view_SG_a_host_delivery_payout_new,v_SG_a_host_delivery_payout,prefix+drop_new,economic-events,
view_SG_a_host_discounts,v_SG_a_host_discounts,prefix,economic-events,
view_SG_a_host_flexplus_payout_new,v_SG_a_host_flexplus_payout,prefix+drop_new,economic-events,
view_SG_a_host_incidentals_cleanliness_new,v_SG_a_host_incidentals_cleanliness,prefix+drop_new,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_SG_a_host_incidentals_damage_new,v_SG_a_host_incidentals_damage,prefix+drop_new,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_SG_a_host_incidentals_excess_mileage_new,v_SG_a_host_incidentals_excess_mileage,prefix+drop_new,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_SG_a_host_incidentals_tolls_new,v_SG_a_host_incidentals_tolls,prefix+drop_new,economic-events,host_incidentals_X -> host_X (parallel with revenue)
view_SG_a_host_misc_charge_collected_new,v_SG_a_host_misc_charge_collected,prefix+drop_new,economic-events,drop redundant '_collected' (lane letter already says it)
view_SG_a_host_payout_regular_p2p,v_SG_a_host_payout_regular_p2p,prefix,economic-events,unify host-cost verb (host_<category>)
view_SG_a_host_subscription_collected_new,v_SG_a_host_subscription_collected,prefix+drop_new,economic-events,drop redundant '_collected' (lane letter already says it)
view_SG_a_host_superhost_payout,v_SG_a_host_superhost_payout,prefix,economic-events,unify host-cost verb (host_<category>)
view_SG_a_host_trip_earnings_rms,v_SG_a_host_trip_earnings_rms,prefix,economic-events,unify host-cost verb (host_<category>)
view_SG_a_incidentals_classified,v_SG_a_incidentals_classified,prefix,feeder,
view_SG_a_incidentals_cleaning_invoiced,v_SG_a_incidentals_cleaning_invoiced,prefix,economic-events,drop redundant '_invoiced' (lane letter already says it)
