entity,date,bank_account,contra_account,amount,kind
ventures,26/07/2024,DBS - 4933 - USD,Due from Singapore,-35374.26,IC
ventures,26/07/2024,DBS - 4933 - USD,Due from Singapore,-75777.26,IC
ventures,14/08/2024,DBS - 4933 - USD,Due from Singapore,-30204.74,IC
ventures,16/08/2024,DBS - 4933 - USD,Due from Singapore,-20086.62,IC
ventures,22/08/2024,DBS - 4933 - USD,Due from Singapore,-26370.0,IC
ventures,27/08/2024,DBS - 4933 - USD,Due from Singapore,-52740.0,IC
ventures,28/08/2024,DBS - 4933 - USD,Due From Australian Account,-32962.5,IC
ventures,28/08/2024,DBS - 4933 - USD,Due from Singapore,-79110.0,IC
ventures,03/09/2024,DBS - 4933 - USD,Due From Australian Account,-65020.0,IC
ventures,13/09/2024,DBS - 4933 - USD,Due From Australian Account,-26008.0,IC
ventures,16/09/2024,DBS - 4933 - USD,Due from Singapore,-26008.0,IC
ventures,23/09/2024,DBS - 4933 - USD,Due from Singapore,-26008.0,IC
ventures,24/09/2024,DBS - 4933 - USD,Due From Australian Account,-26008.0,IC
ventures,24/09/2024,DBS - 4933 - USD,Due from Singapore,-78024.0,IC
ventures,27/09/2024,DBS - 4933 - USD,Due from Singapore,-32510.0,IC
ventures,08/10/2024,DBS - 4933 - USD,Due from Singapore,-40128.0,IC
ventures,18/10/2024,DBS - 4933 - USD,Due from Singapore,-53504.0,IC
ventures,21/10/2024,DBS - 4933 - USD,Due from Singapore,-33440.0,IC
ventures,28/10/2024,DBS - 4933 - USD,Due from Singapore,-26752.0,IC
ventures,04/11/2024,DBS - 4933 - USD,Due from Singapore,-10316.28,IC
ventures,05/11/2024,DBS - 4933 - USD,Due from Singapore,-40707.0,IC
ventures,15/11/2024,DBS - 4933 - USD,Due from Singapore,-47491.5,IC
ventures,26/11/2024,DBS - 4933 - USD,Due from Singapore,-40707.0,IC
ventures,10/12/2024,DBS - 4933 - USD,Due from Singapore,-62077.5,IC
ventures,19/12/2024,DBS - 4933 - USD,Due from Singapore,-48282.5,IC
ventures,19/12/2024,DBS - 4933 - USD,Due From Australian Account,-48282.5,IC
ventures,30/12/2024,DBS - 4933 - USD,Due from Singapore,-18457.19,IC
ventures,17/01/2025,DBS - 4933 - SGD,Loan Payable,10000.0,IC
ventures,24/01/2025,DBS - 4933 - USD,Due from Singapore,-68560.0,IC
ventures,03/02/2025,DBS - 4933 - USD,Due From Australian Account,-81594.0,IC
ventures,07/02/2025,DBS - 4933 - SGD,Due From Australian Account,-64535.1,IC
ventures,07/02/2025,DBS - 4933 - SGD,Due from Singapore,-60000.0,IC
ventures,12/02/2025,DBS - 4933 - SGD,Due from Singapore,-25000.0,IC
ventures,12/02/2025,DBS - 4933 - USD,Due From Australian Account,-67995.0,IC
ventures,24/02/2025,DBS - 4933 - SGD,Loan Payable,6761.0,IC
ventures,24/02/2025,DBS - 4933 - USD,Due from Singapore,-54396.0,IC
ventures,24/02/2025,DBS - 4933 - USD,Due From Australian Account,-81594.0,IC
ventures,04/03/2025,DBS - 4933 - USD,Due From Australian Account,-12204.9,IC
ventures,26/03/2025,DBS - 4933 - USD,Due from Singapore,-135610.0,IC
ventures,26/03/2025,DBS - 4933 - USD,Due From Australian Account,-135610.0,IC
ventures,28/03/2025,DBS - 4933 - USD,Due from Singapore,-120692.9,IC
ventures,28/03/2025,DBS - 4933 - USD,Due From Australian Account,-120692.9,IC
ventures,14/04/2025,DBS - 4933 - USD,Due From Australian Account,-67615.0,IC
ventures,21/04/2025,DBS - 4933 - USD,Due From Australian Account,-81138.0,IC
ventures,24/04/2025,DBS - 4933 - USD,Due from Singapore,-63558.1,IC
ventures,24/04/2025,DBS - 4933 - USD,Due From Australian Account,-54092.0,IC
ventures,07/05/2025,DBS - 4933 - USD,Due from Singapore,-38934.0,IC
ventures,07/05/2025,DBS - 4933 - USD,Due From Australian Account,-51912.0,IC
ventures,26/05/2025,DBS - 4933 - USD,Due From Australian Account,-71282.12,IC
ventures,26/06/2025,DBS - 4933 - USD,Due From Australian Account,-128560.0,IC
ventures,26/06/2025,DBS - 4933 - USD,Due from Singapore,-64280.0,IC
ventures,02/07/2025,DBS - 4933 - EURO,Due from Singapore,-40040.95,IC
ventures,24/07/2025,DBS - 4933 - USD,Due From Australian Account,-44638.02,IC
ventures,24/07/2025,DBS - 4933 - USD,Due from Singapore,-19551.0,IC
ventures,08/08/2025,DBS - 4933 - SGD,Due from Singapore,-8000.0,IC
ventures,22/08/2025,DBS - 4933 - SGD,Due from Singapore,-200000.0,IC
ventures,22/08/2025,DBS - 4933 - SGD,Due from Singapore,200000.0,IC
ventures,23/08/2025,DBS - 4933 - SGD,Due from Singapore,-1000.0,IC
ventures,23/08/2025,DBS - 4933 - SGD,Due from Singapore,-200000.0,IC
ventures,25/08/2025,DBS - 4933 - USD,Due from Singapore,-64105.75,IC
ventures,25/08/2025,DBS - 4933 - USD,Due From Australian Account,-417500.0,IC
ventures,25/08/2025,DBS - 4933 - USD,Due From Australian Account,-64105.75,IC
ventures,04/09/2025,DBS - 4933 - USD,Due from Singapore,-128874.5,IC
ventures,22/09/2025,DBS - 4933 - SGD,Due from Singapore,-56000.0,IC
ventures,30/09/2025,DBS - 4933 - USD,Due from Singapore,-14074.74,IC
